,Unnamed: 0,intersect,obs,forecast,date,level_0,index,x,y,case,fcsthr,met_x,met_y,interest,area,bound_dist,percentile_90,centroid_dist,length,julian_date,real_date,ddif
111,220,-999.0,-999.0,-999.0,19870312_000000,99,99,-129.94239,40.52183,F001,1440000.0,200.23046,522.08731,0.7034,0.052065,0.0,680.81019,17.58372,76.3096,71,,
112,224,-999.0,-999.0,-999.0,19870316_000000,101,101,-154.25682,36.56731,F001,1440000.0,102.9727,506.26923,0.79732,0.38008,0.0,691.85253,27.85995,63.02024,75,,
113,225,-999.0,-999.0,-999.0,19870317_000000,1734,41,-132.80858,44.45833,O001,1440000.0,188.76568,537.83333,,,,689.1612,,59.46106,76,,
115,231,-999.0,-999.0,-999.0,19870323_000000,1358,22,-151.98093,39.25162,F001,1440000.0,112.0763,517.00649,,,,721.0916,,68.95007,82,,
116,235,662.0,1280.0,853.0,19870327_000000,102,168,-145.3003,38.96439,F001,1440000.0,138.7988,515.85757,0.96282,0.70123,0.0,781.82735,5.13779,73.05747,86,1987-03-27,5 days
118,237,-999.0,-999.0,-999.0,19870329_000000,1737,44,-140.26253,27.81942,O001,1440000.0,158.9499,471.27766,,,,880.00773,,65.97455,88,,
119,246,1375.0,3824.0,1991.0,19871208_000000,103,103,-153.57953,41.01623,F001,1440000.0,105.6819,524.0649,0.83394,0.4294,0.0,1300.85725,44.02674,69.32038,342,,
121,248,879.0,2520.0,1236.0,19871210_000000,105,105,-131.21504,40.68036,F001,1440000.0,195.13984,522.72145,0.9677,0.71662,0.0,809.44431,5.27296,139.81314,344,,
122,251,-999.0,-999.0,-999.0,19871213_000000,106,106,-146.03626,41.03068,F001,1440000.0,135.85495,524.12273,,,,808.60752,,72.472,347,,
123,252,-999.0,-999.0,-999.0,19871214_000000,1739,46,-157.08905,25.1781,O002,1440000.0,91.6438,460.7124,,,,907.82918,,60.67028,348,,
125,253,-999.0,-999.0,-999.0,19871215_000000,1741,177,-158.50205,26.59319,O002,1440000.0,85.99179,466.37274,,,,776.57948,,61.02498,349,1987-12-15,263 days
128,256,-999.0,-999.0,-999.0,19871218_000000,1743,50,-155.2737,27.61742,O001,1440000.0,98.90521,470.46968,,,,702.32572,,81.90981,352,,
129,257,-999.0,-999.0,-999.0,19871219_000000,1359,23,-154.83951,42.99132,F001,1440000.0,100.64195,531.96526,,,,695.07811,,56.71496,353,,
130,258,-999.0,-999.0,-999.0,19871220_000000,1360,24,-140.94921,42.82652,F001,1440000.0,156.20317,531.30607,,,,684.76686,,60.03136,354,,
131,261,-999.0,-999.0,-999.0,19871223_000000,1744,183,-154.77695,46.73558,O001,1440000.0,100.8922,546.94232,,,,909.97194,,84.50875,357,1987-12-23,8 days
132,263,86.0,1349.0,1447.0,19871225_000000,108,108,-142.61826,45.51169,F001,1440000.0,149.52697,542.04678,0.93398,0.37213,0.0,720.98224,8.95405,130.79214,359,,
133,267,-999.0,-999.0,-999.0,19871229_000000,1745,52,-154.98854,36.80462,O001,1440000.0,100.04585,507.21848,,,,722.17379,,86.47816,363,,
134,271,-999.0,-999.0,-999.0,19880102_000000,109,109,-148.84578,26.79609,F001,1440000.0,124.61688,467.18434,0.84356,0.5517,0.0,1157.49896,21.73156,92.93855,2,,
136,274,-999.0,-999.0,-999.0,19880105_000000,1748,55,-126.41184,29.50362,O001,1440000.0,214.35266,478.01449,,,,598.60785,,56.85059,5,,
137,277,1160.0,2123.0,1630.0,19880108_000000,110,110,-148.49861,35.85662,F001,1440000.0,126.00555,503.42649,0.97203,0.94733,0.0,713.41437,1.71649,90.30966,8,,
138,278,1073.0,1849.0,1361.0,19880109_000000,111,111,-138.18385,36.87233,F001,1440000.0,167.26458,507.48933,0.87681,0.55364,0.0,719.2942,16.03575,119.90515,9,,
139,281,867.0,2028.0,1991.0,19880112_000000,112,193,-149.57596,39.69795,F001,1440000.0,121.69615,518.79182,0.89243,0.56702,0.0,705.96085,13.92526,95.34261,12,1988-01-12,8 days
140,283,2833.0,3720.0,3812.0,19880114_000000,114,114,-138.83756,40.35936,F001,1440000.0,164.64974,521.43743,0.92629,0.61774,0.0,901.22164,9.82173,171.34625,14,,
142,287,-999.0,994.0,-999.0,19880118_000000,116,116,-156.55567,42.32369,F001,1440000.0,93.77733,529.29477,0.74482,0.24044,0.0,771.7453,36.62299,81.56476,18,,
143,288,1333.0,2976.0,2561.0,19880119_000000,117,117,-144.75423,43.74553,F001,1440000.0,140.98307,534.98213,0.85208,0.60344,0.0,805.64369,19.30573,142.73118,19,,
